Neuron_0_of_Layer_0 Neuron_1_of_Layer_0 Neuron_2_of_Layer_0 Neuron_3_of_Layer_0 Neuron_4_of_Layer_0 Neuron_5_of_Layer_0 Neuron_6_of_Layer_0 Neuron_7_of_Layer_0 Neuron_8_of_Layer_0 Neuron_9_of_Layer_0 Neuron_10_of_Layer_0 Neuron_11_of_Layer_0 Neuron_12_of_Layer_0 Neuron_13_of_Layer_0 Neuron_14_of_Layer_0 Neuron_15_of_Layer_0 Neuron_16_of_Layer_0 Neuron_17_of_Layer_0 Neuron_18_of_Layer_0 Neuron_19_of_Layer_0 Neuron_0_of_Layer_1 Neuron_1_of_Layer_1 Neuron_2_of_Layer_1 Neuron_3_of_Layer_1 Neuron_4_of_Layer_1 Neuron_5_of_Layer_1 Neuron_6_of_Layer_1 Neuron_7_of_Layer_1 Neuron_8_of_Layer_1 Neuron_9_of_Layer_1 Neuron_0_of_Layer_2
-0,507915 0,998935 -0,262237 -0,999999 -0,994188 0,858740 -0,999963 -0,478657 -0,601749 0,998221 0,856973 0,984823 0,999692 -0,896975 -0,999294 -0,902404 0,997845 -0,940218 -0,901077 0,915210 -0,541532 -0,998556 -0,996598 -0,999805 -0,966319 -0,999135 1,000000 1,000000 -1,000000 0,999988 3,761797
0,924959 1,000000 0,289771 -1,000000 -0,999993 0,999993 0,996411 -0,968143 0,955483 0,021450 -0,268955 0,999970 -0,954554 0,999918 -0,999997 0,999846 0,999241 -0,995206 0,999705 0,999995 0,999996 -0,999999 0,995342 -1,000000 -1,000000 -0,999791 1,000000 1,000000 -0,993204 1,000000 1,141827
0,995415 1,000000 0,254270 -1,000000 -0,927798 1,000000 -0,999987 -0,981468 -0,559985 0,998529 -0,258727 0,998589 1,000000 -0,997655 -0,999995 0,983482 0,999981 -0,983500 -0,247527 1,000000 0,998003 -0,999999 0,530922 -1,000000 -0,999993 -0,998453 1,000000 1,000000 -1,000000 1,000000 1,447140
0,999901 0,999995 -0,999999 -0,530024 0,953147 1,000000 -0,999957 0,473290 0,999233 -0,906880 0,987033 -0,434977 1,000000 -0,997939 -0,995122 -0,883945 -0,800642 0,999054 0,834403 -0,660065 -0,999984 -1,000000 -1,000000 0,998533 0,999887 -0,999997 0,992774 1,000000 -1,000000 -0,026834 17,101290
0,994742 1,000000 -0,858186 -1,000000 -0,992417 1,000000 -0,999687 -0,993953 -0,672310 0,997638 -0,717896 0,984983 1,000000 -0,908651 -0,999999 0,998443 0,999823 -0,764759 0,956781 0,999999 0,988899 -1,000000 0,428123 -1,000000 -0,999963 -0,999990 1,000000 1,000000 -1,000000 1,000000 1,792375
0,615713 0,999999 -0,999987 -0,992932 0,389800 0,999903 -0,999811 0,991277 0,999524 -0,859513 0,999924 0,781707 1,000000 -0,988032 -0,772390 -0,999528 0,838803 0,962765 -0,746960 -0,946798 -0,999972 -1,000000 -1,000000 0,861895 0,998892 -0,998588 0,999814 1,000000 -1,000000 0,669381 14,802167
-0,575101 0,999999 -0,999997 -1,000000 -0,996485 0,867496 -0,999571 -0,004205 0,957220 0,592527 0,968848 -0,002848 1,000000 -0,799224 -0,942422 0,185810 0,999407 0,971446 0,590197 0,999539 -0,998282 -1,000000 -0,999966 -0,631499 0,837679 -0,927984 0,999999 1,000000 -1,000000 0,999607 9,853823
0,999694 1,000000 0,858981 -1,000000 -0,993652 1,000000 -0,471579 -0,993175 0,952451 0,553079 -0,337021 0,999992 0,999216 0,730570 -0,999997 0,999773 0,996373 -0,998751 0,975992 1,000000 0,998953 -0,999981 0,672970 -1,000000 -0,999999 -0,975414 1,000000 1,000000 -1,000000 1,000000 1,035212
0,999965 1,000000 -0,316556 -1,000000 -0,996440 1,000000 -0,701306 -0,997555 0,823491 0,806025 -0,944338 0,999477 0,999958 0,849048 -1,000000 0,999995 0,988756 -0,923090 0,999118 0,999999 0,997674 -1,000000 0,414704 -1,000000 -0,999984 -0,999868 1,000000 1,000000 -1,000000 1,000000 1,697358
0,991389 1,000000 0,844217 -1,000000 -0,940618 1,000000 -0,999995 -0,923092 -0,008693 0,998452 0,396081 0,999507 1,000000 -0,999172 -0,999985 0,987614 0,999953 -0,995837 -0,876950 1,000000 0,993283 -0,998012 -0,265024 -1,000000 -0,999989 -0,894623 1,000000 1,000000 -1,000000 1,000000 1,974900
-0,990706 1,000000 -0,920332 -1,000000 -0,999975 -0,519218 0,935842 0,979061 0,993161 -0,477697 0,996798 0,998921 0,226807 0,998757 -0,998073 0,826908 0,999952 -0,723451 0,934000 0,812200 -0,985460 -1,000000 -0,992036 -0,999988 -0,966198 -1,000000 1,000000 1,000000 -0,999999 1,000000 6,144413
-0,971426 0,999999 -0,999997 -1,000000 -0,998753 0,068865 0,884265 0,977072 0,999862 -0,992892 0,999581 0,952408 -0,458269 0,995979 -0,622164 -0,924998 0,995126 0,933185 0,969397 -0,398732 -0,998584 -1,000000 -0,995816 -0,997430 -0,520842 -0,999993 0,999892 1,000000 -0,989834 0,999739 6,847502
0,798110 1,000000 0,252020 -1,000000 -0,999994 0,999730 0,868847 -0,999156 0,194101 0,947202 -0,963884 0,999922 0,621358 0,998600 -0,999999 0,999999 0,999999 -0,996150 0,998982 1,000000 0,999998 -1,000000 0,984002 -1,000000 -1,000000 -0,999943 1,000000 1,000000 -1,000000 1,000000 1,080056
0,999999 1,000000 -0,993875 -0,999999 -0,994428 1,000000 0,982481 -0,999862 0,949422 -0,672282 -0,995708 0,980459 0,382186 0,999713 -1,000000 1,000000 0,595538 0,844640 1,000000 0,999933 0,997509 -1,000000 0,742681 -0,999998 -0,999978 -0,999750 1,000000 1,000000 -1,000000 1,000000 1,262807
-0,941420 1,000000 0,483658 -1,000000 -0,999816 0,496694 -0,995002 -0,126146 -0,157431 0,994663 0,933277 0,999160 0,999999 -0,014859 -0,999961 0,923693 1,000000 -0,986678 -0,278217 0,999990 0,027813 -0,999596 -0,982945 -1,000000 -0,999453 -0,999047 1,000000 1,000000 -1,000000 1,000000 4,334713
0,997937 1,000000 -0,962505 -1,000000 -0,997833 1,000000 0,190739 -0,928044 0,990887 -0,452223 0,243581 0,999370 0,992600 0,965424 -0,999984 0,999500 0,957611 -0,706554 0,998071 0,999953 0,970200 -1,000000 -0,553531 -0,999999 -0,999775 -0,999990 1,000000 1,000000 -1,000000 1,000000 2,760719
0,996593 1,000000 0,973037 -1,000000 -0,999993 1,000000 0,976385 -0,999775 0,473674 0,907164 -0,990094 0,999995 0,074820 0,999504 -1,000000 1,000000 0,999983 -0,999561 0,999736 1,000000 1,000000 -0,999664 0,995987 -1,000000 -1,000000 -0,998605 1,000000 1,000000 -1,000000 1,000000 0,993749
0,999921 1,000000 -0,991995 -0,999999 -0,996053 1,000000 0,869979 -0,982308 0,997300 -0,906496 -0,536340 0,998258 0,882489 0,994721 -0,999996 0,999969 0,755207 -0,007584 0,999891 0,999911 0,993165 -1,000000 0,107592 -0,999996 -0,999951 -0,999984 1,000000 1,000000 -1,000000 1,000000 2,016213
