Neuron_0_of_Layer_0 Neuron_1_of_Layer_0 Neuron_2_of_Layer_0 Neuron_3_of_Layer_0 Neuron_4_of_Layer_0 Neuron_5_of_Layer_0 Neuron_6_of_Layer_0 Neuron_7_of_Layer_0 Neuron_8_of_Layer_0 Neuron_9_of_Layer_0 Neuron_10_of_Layer_0 Neuron_11_of_Layer_0 Neuron_12_of_Layer_0 Neuron_13_of_Layer_0 Neuron_14_of_Layer_0 Neuron_15_of_Layer_0 Neuron_16_of_Layer_0 Neuron_17_of_Layer_0 Neuron_18_of_Layer_0 Neuron_19_of_Layer_0 Neuron_0_of_Layer_1 Neuron_1_of_Layer_1 Neuron_2_of_Layer_1 Neuron_3_of_Layer_1 Neuron_4_of_Layer_1 Neuron_5_of_Layer_1 Neuron_6_of_Layer_1 Neuron_7_of_Layer_1 Neuron_8_of_Layer_1 Neuron_9_of_Layer_1 Neuron_0_of_Layer_2
1,000000 -0,999999 1,000000 -0,999836 0,999998 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 0,996029 -0,010793 0,992202 -0,992586 0,914147 0,990251 0,999996 0,989424 -0,999859 0,991110 0,029762
1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 0,996021 -0,007976 0,992097 -0,992497 0,912852 0,990164 0,999996 0,989298 -0,999859 0,991075 0,030882
1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 0,996014 -0,005873 0,991978 -0,992400 0,911650 0,990067 0,999996 0,989159 -0,999859 0,991036 0,029563
1,000000 -0,998848 1,000000 -0,999856 1,000000 1,000000 -1,000000 -1,000000 0,999992 0,998472 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -0,999790 0,999999 -1,000000 -1,000000 0,996005 -0,004260 0,991836 -0,992304 0,910706 0,989988 0,999996 0,989013 -0,999859 0,991010 0,031744
1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 0,996004 -0,003414 0,991716 -0,992191 0,909289 0,989861 0,999996 0,988861 -0,999859 0,990961 0,022915
1,000000 -0,997619 1,000000 -0,997955 0,999979 1,000000 -0,999999 -1,000000 0,999949 0,999106 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -0,994667 0,999928 -1,000000 -1,000000 0,995986 -0,003731 0,991548 -0,992086 0,906741 0,989769 0,999996 0,988657 -0,999857 0,990899 0,026414
1,000000 -0,999998 1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 0,999996 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -0,999979 1,000000 -1,000000 -1,000000 0,995987 -0,001660 0,991501 -0,991979 0,903564 0,989686 0,999996 0,988551 -0,999859 0,990892 0,029799
1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 0,995967 -0,000944 0,991459 -0,991883 0,899966 0,989631 0,999996 0,988436 -0,999859 0,990838 0,029214
1,000000 -0,999972 1,000000 -0,999778 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -0,999922 1,000000 -1,000000 -1,000000 0,995944 -0,000414 0,991445 -0,991788 0,895738 0,989598 0,999996 0,988344 -0,999859 0,990778 0,029688
1,000000 -0,998650 1,000000 -0,997037 1,000000 1,000000 -1,000000 -1,000000 1,000000 0,999949 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -0,996844 0,999997 -1,000000 -1,000000 0,995902 -0,000629 0,991475 -0,991697 0,889662 0,989611 0,999996 0,988292 -0,999858 0,990683 0,026355
0,999993 -0,927622 1,000000 -0,931754 0,999932 1,000000 -0,999994 -1,000000 0,999919 0,979363 -0,999999 0,999999 -1,000000 0,999999 -0,999987 -1,000000 -0,880474 0,998974 -1,000000 -1,000000 0,995523 -0,023286 0,990472 -0,991582 0,878938 0,990062 0,999996 0,987266 -0,999819 0,989933 0,030643
1,000000 -0,999817 1,000000 -0,999995 1,000000 1,000000 -1,000000 -1,000000 1,000000 0,999948 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -0,999705 1,000000 -1,000000 -1,000000 0,995822 0,000267 0,991615 -0,991463 0,878735 0,989604 0,999996 0,988291 -0,999858 0,990566 0,030475
0,999725 -0,479879 1,000000 -0,957082 0,998417 1,000000 -0,998314 -0,999999 0,998377 0,873892 -0,999795 0,999784 -1,000000 0,999887 -0,998101 -0,999888 -0,869242 0,996003 -0,999923 -0,999941 0,993944 0,005797 0,985199 -0,990082 0,892211 0,991747 0,999995 0,981102 -0,999692 0,990012 0,027470
0,999892 -0,886052 1,000000 -0,936025 0,998885 1,000000 -0,999971 -1,000000 0,999919 0,999076 -0,999996 0,999996 -1,000000 0,999988 -0,999216 -0,999998 -0,968321 0,997441 -0,999999 -0,999995 0,995508 0,006900 0,990116 -0,990466 0,875110 0,990140 0,999996 0,986741 -0,999827 0,989899 0,030278
1,000000 -0,998321 1,000000 -0,998500 1,000000 1,000000 -1,000000 -1,000000 1,000000 0,999981 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -0,996927 0,999990 -1,000000 -1,000000 0,995747 0,001089 0,991441 -0,991037 0,865759 0,989464 0,999996 0,987825 -0,999857 0,990321 0,025870
1,000000 -0,999970 1,000000 -0,999879 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -0,999877 0,999999 -1,000000 -1,000000 0,995729 0,002682 0,991417 -0,990910 0,859954 0,989404 0,999996 0,987640 -0,999858 0,990292 0,031697
1,000000 -0,999974 1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 0,999991 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -0,999793 1,000000 -1,000000 -1,000000 0,995705 0,003804 0,991342 -0,990788 0,854372 0,989330 0,999996 0,987415 -0,999858 0,990266 0,027902
