experiment,architecture,batch_size,activation,learning_rate,momentum,l2_reg,train_mse,val_mse,rmse,normalized
grid_very_deep_lr0.01_m0.9_l20.001_relu_bs32,7-50-30-15-1,32,Relu,0.01,0.9,0.001,0.3089521850850062,0.6141815093742321,0.7836973327594219,True
grid_very_deep_lr0.01_m0.9_l20.001_tanh_bs16,7-50-30-15-1,16,Tanh,0.01,0.9,0.001,0.2503430235711407,0.6868684724397109,0.8287752846457904,True
grid_very_deep_lr0.01_m0.9_l20.001_tanh_bs32,7-50-30-15-1,32,Tanh,0.01,0.9,0.001,0.1970571804503312,0.8384620576759763,0.9156757382807389,True
lr_high,7-20-10-1,32,Tanh,0.1,0.9,0.0001,17.69283842994634,18.72677997645059,4.327444970932685,False
lr_high_norm,7-20-10-1,32,Tanh,0.1,0.9,0.0001,4.791008089981412,5.423146365871268,2.328764987256393,True
no_momentum,7-20-10-1,32,Tanh,0.01,0.0,0.0001,17.30989659311536,18.439034432876305,4.29406968188411,False
no_momentum_norm,7-20-10-1,32,Tanh,0.01,0.0,0.0001,0.4554460252426323,0.5147936091453278,0.7174911909879645,True
relu,7-20-10-1,32,Relu,0.01,0.9,0.0001,17.274094868379898,18.425573608498933,4.2925020219563015,False
relu_norm,7-20-10-1,32,Relu,0.01,0.9,0.0001,0.4296793512028076,0.5127774853556326,0.7160848311168395,True
simple,7-7-1,32,Tanh,0.01,0.9,0.0001,17.959912992619653,19.323706013943607,4.3958737486356005,False
simple_norm,7-7-1,32,Tanh,0.01,0.9,0.0001,0.6824938321930478,0.6946302202233965,0.8334447913469712,True
