Neuron_0_of_Layer_0 Neuron_1_of_Layer_0 Neuron_2_of_Layer_0 Neuron_3_of_Layer_0 Neuron_4_of_Layer_0 Neuron_5_of_Layer_0 Neuron_6_of_Layer_0 Neuron_7_of_Layer_0 Neuron_8_of_Layer_0 Neuron_9_of_Layer_0 Neuron_10_of_Layer_0 Neuron_11_of_Layer_0 Neuron_12_of_Layer_0 Neuron_13_of_Layer_0 Neuron_14_of_Layer_0 Neuron_15_of_Layer_0 Neuron_16_of_Layer_0 Neuron_17_of_Layer_0 Neuron_18_of_Layer_0 Neuron_19_of_Layer_0 Neuron_20_of_Layer_0 Neuron_21_of_Layer_0 Neuron_22_of_Layer_0 Neuron_23_of_Layer_0 Neuron_24_of_Layer_0 Neuron_25_of_Layer_0 Neuron_26_of_Layer_0 Neuron_27_of_Layer_0 Neuron_28_of_Layer_0 Neuron_29_of_Layer_0 Neuron_30_of_Layer_0 Neuron_31_of_Layer_0 Neuron_32_of_Layer_0 Neuron_33_of_Layer_0 Neuron_34_of_Layer_0 Neuron_35_of_Layer_0 Neuron_36_of_Layer_0 Neuron_37_of_Layer_0 Neuron_38_of_Layer_0 Neuron_39_of_Layer_0 Neuron_40_of_Layer_0 Neuron_41_of_Layer_0 Neuron_42_of_Layer_0 Neuron_43_of_Layer_0 Neuron_44_of_Layer_0 Neuron_45_of_Layer_0 Neuron_46_of_Layer_0 Neuron_47_of_Layer_0 Neuron_48_of_Layer_0 Neuron_49_of_Layer_0 Neuron_0_of_Layer_1 Neuron_1_of_Layer_1 Neuron_2_of_Layer_1 Neuron_3_of_Layer_1 Neuron_4_of_Layer_1 Neuron_5_of_Layer_1 Neuron_6_of_Layer_1 Neuron_7_of_Layer_1 Neuron_8_of_Layer_1 Neuron_9_of_Layer_1 Neuron_10_of_Layer_1 Neuron_11_of_Layer_1 Neuron_12_of_Layer_1 Neuron_13_of_Layer_1 Neuron_14_of_Layer_1 Neuron_15_of_Layer_1 Neuron_16_of_Layer_1 Neuron_17_of_Layer_1 Neuron_18_of_Layer_1 Neuron_19_of_Layer_1 Neuron_0_of_Layer_2 Neuron_1_of_Layer_2 Neuron_2_of_Layer_2 Neuron_3_of_Layer_2 Neuron_4_of_Layer_2 Neuron_5_of_Layer_2 Neuron_6_of_Layer_2 Neuron_7_of_Layer_2 Neuron_8_of_Layer_2 Neuron_9_of_Layer_2 Neuron_0_of_Layer_3
-1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -0,993387 -0,025615 -0,999993 -1,000000 0,999998 -1,000000 -1,000000 -0,006172 1,000000 1,000000 -1,000000 -1,000000 0,999886 -0,999779 1,000000 0,976148 -1,000000 0,002927 0,000667 0,000604 -0,001859 -0,999901 -0,006797 -0,001060 -0,027803 -0,000190 -0,001430 5,857755
-1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -0,999986 -1,000000 -0,999997 -0,999992 -0,999998 -1,000000 1,000000 -1,000000 -0,999999 0,999999 1,000000 -1,000000 -0,999988 -1,000000 0,999999 -1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 -0,999999 1,000000 1,000000 0,999897 -1,000000 -0,999875 0,999991 -1,000000 -1,000000 0,999322 -1,000000 -0,999924 1,000000 -1,000000 1,000000 1,000000 0,999975 0,999998 1,000000 -1,000000 -0,999999 1,000000 1,000000 -1,000000 0,045631 -0,140285 -0,999985 -1,000000 0,999994 -1,000000 -1,000000 0,054635 0,999999 0,999999 -1,000000 -0,999999 0,999779 -0,999586 1,000000 0,097187 -1,000000 0,004507 0,002955 -0,000324 0,001946 -0,999679 -0,003177 0,001838 -0,000689 -0,004488 0,002323 5,379127
-1,000000 0,999926 -1,000000 1,000000 -1,000000 0,999972 -1,000000 -0,999999 -0,999921 -0,999984 -0,999816 -0,998677 -0,999971 -0,999998 1,000000 -0,999998 -0,999981 0,999977 1,000000 -0,999999 -1,000000 -1,000000 0,999831 -1,000000 1,000000 0,999956 0,999998 0,999990 1,000000 -0,999890 1,000000 0,999998 0,997962 -1,000000 0,999822 0,999880 -1,000000 -1,000000 1,000000 -1,000000 -0,999977 1,000000 -0,999997 1,000000 1,000000 0,999372 0,999963 0,999967 -1,000000 -0,999940 1,000000 1,000000 -1,000000 0,000368 0,019026 -0,999963 -1,000000 0,999976 -1,000000 -1,000000 -0,005555 0,999993 0,999997 -1,000000 -0,999996 0,999312 -0,998824 1,000000 -0,017432 -1,000000 -0,001544 -0,005004 -0,012045 -0,000863 -0,998900 0,008285 0,014846 0,464944 -0,002439 -0,002551 5,073311
-1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 1,000000 -1,000000 1,000000 1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 0,997901 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -0,035867 0,071187 -0,999905 -1,000000 0,999953 -1,000000 -1,000000 -0,041018 0,999972 0,999982 -1,000000 -0,999989 0,998670 -0,997300 1,000000 -0,056903 -1,000000 0,000086 0,000365 0,000186 -0,000013 -0,998864 -0,000523 -0,000689 0,000417 0,001206 0,000027 6,038477
-1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -0,999976 -0,999999 -1,000000 -0,998438 -1,000000 -0,999994 -1,000000 1,000000 -1,000000 -0,999996 0,999999 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -0,999999 1,000000 1,000000 1,000000 -1,000000 1,000000 0,999999 0,999999 -1,000000 1,000000 0,999996 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 1,000000 0,999990 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -0,017085 0,030530 -0,999816 -1,000000 0,999907 -1,000000 -1,000000 -0,025779 0,999942 0,999963 -1,000000 -0,999976 0,997002 -0,990868 1,000000 -0,033864 -1,000000 0,091489 0,051881 0,109624 0,092944 -0,998240 -0,109137 -0,069720 0,123505 -0,073467 -0,119409 5,869237
-1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 1,000000 -1,000000 1,000000 1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -0,025754 0,025252 -0,999662 -1,000000 0,999825 -0,999999 -1,000000 -0,041182 0,999888 0,999925 -1,000000 -0,999952 0,994386 -0,970008 1,000000 -0,032535 -1,000000 -0,000045 0,000098 0,000100 -0,000026 -0,997470 0,000011 -0,000026 0,000077 0,000033 -0,000093 5,017221
-1,000000 0,999332 -0,999994 0,999974 -1,000000 0,999719 -1,000000 -0,999904 -0,999965 -1,000000 -0,999391 -0,999901 -0,999978 -0,999940 0,999999 -0,999956 -0,999987 0,999956 0,999986 -0,999970 -0,999991 -0,999996 0,999174 -1,000000 0,999999 -0,999981 0,999582 0,999759 1,000000 0,834664 1,000000 0,999988 -1,000000 -0,999998 0,999941 0,999762 -1,000000 -1,000000 1,000000 -1,000000 -0,999465 1,000000 -0,999955 0,999981 1,000000 1,000000 0,999940 1,000000 -0,999990 -0,998766 1,000000 1,000000 -1,000000 0,006449 0,115091 -0,999008 -1,000000 0,999319 -0,999991 -1,000000 0,047124 0,999329 0,999818 -1,000000 -0,999735 0,926847 0,083094 1,000000 0,228422 -1,000000 0,116269 0,072786 -0,029677 0,041379 -0,996178 0,059688 0,023252 -0,042775 0,089579 0,070917 4,942134
-1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 -0,105978 1,000000 1,000000 -1,000000 -0,016540 0,071577 -0,997956 -1,000000 0,998409 -0,999972 -1,000000 0,108324 0,998664 0,999564 -1,000000 -0,999321 0,310597 0,029309 1,000000 0,085670 -1,000000 0,040306 0,060208 -0,093126 -0,248143 -0,988949 -0,030856 -0,059251 -0,031433 -0,041167 0,020587 5,801533
-1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 0,999998 -1,000000 -0,015137 0,525372 -0,991135 -0,999999 0,997374 -0,999924 -1,000000 -0,000153 0,996827 0,999039 -0,999999 -0,998502 -0,982752 0,009355 1,000000 0,012856 -1,000000 0,000914 -0,000568 0,003293 -0,002289 -0,999908 -0,001079 -0,000685 -0,001146 -0,000855 0,000691 5,682954
-1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 0,999996 -1,000000 -0,064519 0,218281 -0,928961 -0,999998 0,994746 -0,999857 -1,000000 0,224846 0,992908 0,998279 -0,999998 -0,997338 0,227930 0,077197 1,000000 0,168585 -1,000000 0,005533 -0,011106 0,019493 0,030152 -0,999079 0,017394 -0,002773 0,008577 0,024102 -0,001100 5,707059
