Neuron_0_of_Layer_0 Neuron_1_of_Layer_0 Neuron_2_of_Layer_0 Neuron_3_of_Layer_0 Neuron_4_of_Layer_0 Neuron_5_of_Layer_0 Neuron_6_of_Layer_0 Neuron_7_of_Layer_0 Neuron_8_of_Layer_0 Neuron_9_of_Layer_0 Neuron_10_of_Layer_0 Neuron_11_of_Layer_0 Neuron_12_of_Layer_0 Neuron_13_of_Layer_0 Neuron_14_of_Layer_0 Neuron_15_of_Layer_0 Neuron_16_of_Layer_0 Neuron_17_of_Layer_0 Neuron_18_of_Layer_0 Neuron_19_of_Layer_0 Neuron_0_of_Layer_1
-0,567886 0,593081 -0,794439 -0,954330 0,889578 -0,998273 -0,898178 0,586985 -0,571019 -0,578394 0,893688 0,569748 -0,595421 0,955568 -0,886782 0,570331 -0,796707 -0,898941 0,586615 -0,553170 -0,916113
0,483146 -0,513893 0,981225 0,959196 -0,819169 0,429362 0,843429 -0,510100 0,492437 0,555053 -0,844312 -0,490894 0,521308 -0,881840 0,815131 -0,486961 0,978816 0,853591 -0,507261 0,467841 0,930003
-0,837216 0,854915 -0,987052 -0,996742 0,990118 -0,999980 -0,992933 0,851195 -0,840181 -0,850112 0,992266 0,839245 -0,856786 0,996481 -0,989343 0,839150 -0,986368 -0,993589 0,850735 -0,825932 -0,113121
0,003258 -0,010043 0,776899 0,466766 -0,016874 -0,918556 0,025208 -0,011304 0,008255 0,056855 -0,037334 -0,007915 0,014479 0,033567 0,017753 -0,004520 0,743971 0,033366 -0,009271 0,001554 -0,022999
-0,611023 0,629263 -0,752131 -0,917188 0,916421 -0,999593 -0,937651 0,624445 -0,612768 -0,609270 0,932221 0,611831 -0,630259 0,938549 -0,911164 0,612771 -0,756669 -0,943512 0,624508 -0,599309 -0,938321
0,178451 -0,192009 0,940003 0,821975 -0,393007 -0,805794 0,427219 -0,192154 0,184944 0,242392 -0,429573 -0,184238 0,197445 -0,362641 0,387314 -0,180515 0,918661 0,440802 -0,189778 0,172544 0,350791
-0,771071 0,787950 -0,951655 -0,984424 0,978613 -0,999975 -0,987700 0,783936 -0,773327 -0,778180 0,985908 0,772464 -0,789565 0,980426 -0,976192 0,772768 -0,947937 -0,990010 0,783665 -0,760650 -0,794773
0,893323 -0,906535 0,999981 0,999910 -0,996804 0,998176 0,998542 -0,904813 0,897093 0,920852 -0,998315 -0,896398 0,909270 -0,995933 0,996295 -0,895000 0,999949 0,998921 -0,903773 0,885663 0,095223
-0,512345 0,527467 -0,365431 -0,739393 0,845573 -0,999440 -0,888105 0,522693 -0,512857 -0,499692 0,878206 0,512122 -0,527809 0,841427 -0,835786 0,513577 -0,427050 -0,901295 0,523083 -0,503007 -0,929952
0,765561 -0,783930 0,999811 0,998757 -0,978395 0,953943 0,987511 -0,781980 0,771348 0,812591 -0,986249 -0,770381 0,788322 -0,969806 0,976032 -0,767956 0,999500 0,989880 -0,780235 0,755432 0,873333
0,351207 -0,367064 0,990221 0,948748 -0,679802 -0,532673 0,724688 -0,366984 0,358240 0,421060 -0,720061 -0,357380 0,372718 -0,627214 0,670635 -0,353592 0,980196 0,740191 -0,364499 0,343373 0,667538
0,088055 -0,094053 0,948657 0,777355 -0,209563 -0,931492 0,216782 -0,096169 0,093434 0,150654 -0,223340 -0,093053 0,098324 -0,164219 0,208334 -0,089440 0,907168 0,219128 -0,094028 0,085599 0,184281
0,850267 -0,863608 0,999975 0,999574 -0,992347 0,992517 0,995944 -0,862232 0,854494 0,884446 -0,995469 -0,853783 0,866723 -0,986565 0,991315 -0,852029 0,999900 0,996783 -0,860979 0,842697 0,575330
-0,805223 0,818984 -0,963773 -0,970932 0,984366 -0,999993 -0,991587 0,815545 -0,806932 -0,809452 0,990320 0,806255 -0,820391 0,975733 -0,982284 0,806540 -0,961757 -0,993286 0,815331 -0,797199 -0,792680
0,784356 -0,799226 0,999928 0,998347 -0,980883 0,964342 0,988145 -0,797987 0,789412 0,827793 -0,987195 -0,788612 0,802990 -0,967382 0,978891 -0,786376 0,999692 0,989951 -0,796424 0,776057 0,857834
0,528643 -0,543895 0,998617 0,980891 -0,859866 0,209934 0,886976 -0,543816 0,535253 0,593252 -0,884048 -0,534394 0,548829 -0,810509 0,853270 -0,530976 0,995367 0,894660 -0,541578 0,520353 0,934523
0,289653 -0,297991 0,991630 0,922087 -0,579875 -0,710665 0,605105 -0,299998 0,295704 0,356210 -0,606045 -0,295146 0,302160 -0,515306 0,573649 -0,291432 0,975812 0,611406 -0,297792 0,284830 0,548145
-0,550194 0,569457 -0,224285 -0,443184 0,862172 -0,999665 -0,900654 0,563296 -0,551138 -0,542736 0,892291 0,550308 -0,571385 0,815675 -0,852574 0,551597 -0,394454 -0,911709 0,563364 -0,540750 -0,934532
0,546366 -0,559083 0,999117 0,979615 -0,868999 0,291247 0,890739 -0,559703 0,552584 0,607676 -0,888876 -0,551814 0,563240 -0,817187 0,863254 -0,548509 0,996059 0,896106 -0,557630 0,538838 0,945971
-0,678057 0,700628 -0,667586 -0,618566 0,936393 -0,999922 -0,958192 0,694293 -0,680270 -0,686750 0,953849 0,679285 -0,703952 0,899810 -0,930499 0,679871 -0,731359 -0,963924 0,693825 -0,667486 -0,960829
0,667638 -0,680334 0,999782 0,990093 -0,938078 0,768968 0,951185 -0,680581 0,673329 0,720945 -0,949919 -0,672562 0,683898 -0,901156 0,934345 -0,669704 0,998588 0,954137 -0,678771 0,659858 0,962752
-0,735098 0,759634 -0,792044 -0,649135 0,956598 -0,999963 -0,972624 0,753149 -0,738006 -0,752722 0,969541 0,736933 -0,763764 0,923508 -0,952082 0,737138 -0,824721 -0,976681 0,752378 -0,723947 -0,950315
0,840624 -0,851639 0,999987 0,997948 -0,988214 0,987804 0,991928 -0,851113 0,844691 0,875178 -0,991514 -0,844057 0,854166 -0,974726 0,987048 -0,842239 0,999837 0,992697 -0,849904 0,833955 0,690258
-0,884034 0,900930 -0,985716 -0,905713 0,992528 -0,999999 -0,996032 0,896943 -0,886578 -0,901534 0,995439 0,885805 -0,903897 0,981411 -0,991402 0,885580 -0,981229 -0,996796 0,896245 -0,875965 -0,547117
-0,055865 0,079426 0,955164 0,781182 0,056125 -0,972816 -0,119732 0,069471 -0,054805 -0,036405 0,097231 0,054087 -0,083490 0,030824 -0,045251 0,056691 0,847440 -0,149245 0,069758 -0,049161 -0,035270
